Level of physics education (1-3): 2
response_time,predicted_angle,answer_angle,ball_angle,starting_angle,angle_change,cross_mark,rope_length,outer_radius,points
1.66,0.841069,3.255223,2.636257,1.369442,0.100000,False,200,300.0,0
2.63,5.352164,3.656339,6.234096,2.484540,-0.200000,True,200,335.0,0
2.33,5.235988,3.222640,2.027378,3.294192,-0.100000,True,200,400.0,0
1.12,5.442117,0.040091,5.361119,4.119748,-0.150000,False,200,300.0,0
0.54,5.352164,6.280236,5.467785,1.718229,-0.200000,False,100,167.5,1
1.52,5.235988,6.175593,1.342961,3.876591,-0.200000,False,200,400.0,1
1.43,1.008260,5.460214,1.232409,4.981965,0.200000,True,200,375.0,0
1.13,5.320635,1.748509,5.547573,1.798017,-0.200000,True,200,350.0,0
1.42,5.320635,0.169552,4.519527,5.786342,-0.100000,True,100,175.0,0
0.66,5.320635,0.035537,5.239810,3.998439,-0.150000,False,100,175.0,0
2.09,1.047198,6.120163,1.356810,0.089995,0.100000,True,200,400.0,0
1.83,5.274925,6.212933,0.182239,5.224053,-0.150000,False,200,375.0,1
1.98,1.047198,0.114713,4.058713,1.525083,0.200000,False,100,200.0,1
6.04,5.274925,3.067047,3.869589,0.120033,-0.200000,False,200,375.0,0
2.84,5.442117,0.037796,5.126142,0.109771,-0.100000,False,100,150.0,0
1.08,5.274925,0.095858,4.752550,1.002994,-0.200000,True,100,187.5,0
1.95,5.352164,0.860636,0.710894,3.244524,-0.200000,True,100,167.5,0
0.75,5.352164,0.137406,4.250372,5.517186,-0.100000,True,200,335.0,0
0.77,0.962551,6.262445,3.783826,2.517012,0.100000,False,100,175.0,0
0.92,1.008260,0.218888,0.461929,4.211485,0.200000,False,100,187.5,2
1.41,0.962551,5.919388,4.428946,3.162132,0.100000,True,100,175.0,0
0.59,1.008260,0.049315,3.559567,2.292752,0.100000,False,100,187.5,0
0.77,5.442117,6.247122,0.472538,3.006167,-0.200000,False,100,150.0,2
1.77,0.931021,5.849689,2.669503,0.135874,0.200000,True,200,335.0,0
1.08,5.274925,0.766048,5.036378,3.795008,-0.150000,True,100,187.5,0
1.54,5.235988,2.954606,0.932346,2.199161,-0.100000,False,200,400.0,0
0.93,5.442117,3.214543,0.613769,1.880583,-0.100000,False,200,300.0,0
2.24,5.352164,3.202067,2.230847,3.497662,-0.100000,False,200,335.0,0
1.17,1.047198,4.316043,1.481633,2.723004,0.150000,True,100,200.0,0
4.80,5.274925,2.798635,1.494923,2.761737,-0.100000,False,200,375.0,0
3.14,5.274925,3.177853,0.012730,1.279544,-0.100000,False,100,187.5,0
2.30,5.320635,2.714184,3.629059,6.162688,-0.200000,True,100,175.0,0
0.77,0.841069,3.032251,3.325968,4.567339,0.150000,False,100,150.0,0
0.41,0.962551,0.136170,6.135755,1.093940,0.150000,True,100,175.0,2
2.16,5.235988,3.370191,2.878341,5.411971,-0.200000,False,100,200.0,0
0.91,5.235988,4.503962,1.346661,0.105291,-0.150000,True,200,400.0,3
2.18,5.320635,3.245111,4.641438,0.891882,-0.200000,False,100,175.0,0
0.49,0.931021,5.873946,2.506370,1.239556,0.100000,True,200,335.0,0
0.67,1.008260,0.160885,0.718812,1.960183,0.150000,True,200,375.0,2
0.69,1.008260,0.152660,0.740229,4.489785,0.200000,False,200,375.0,1
1.55,0.841069,6.015870,1.806479,0.539664,0.100000,True,100,150.0,0
1.28,0.962551,6.257944,4.922068,3.655253,0.100000,False,200,350.0,0
1.00,5.442117,0.024828,1.779381,4.313011,-0.200000,False,200,300.0,0
0.93,5.352164,2.549057,5.361054,4.119683,-0.150000,True,100,167.5,0
1.17,1.047198,5.629284,1.968795,0.701981,0.100000,True,100,200.0,0
0.69,1.047198,5.169366,2.040718,3.282089,0.150000,True,200,400.0,0
0.65,5.235988,0.267589,0.756760,3.290389,-0.200000,True,100,200.0,0
1.80,5.320635,0.335292,4.270316,3.028945,-0.150000,True,200,350.0,0
3.36,1.047198,6.212500,0.276098,1.517469,0.150000,False,100,200.0,0
1.68,5.235988,0.530648,0.440141,2.973771,-0.200000,True,200,400.0,0
2.02,5.320635,0.010025,5.156477,1.406921,-0.200000,False,200,350.0,0
1.95,1.047198,0.017535,6.250650,4.983835,0.100000,False,100,200.0,0
3.44,5.235988,0.021178,6.247007,5.005636,-0.150000,False,100,200.0,0
3.18,1.008260,0.089119,3.004975,1.738160,0.100000,False,200,375.0,1
1.61,5.352164,6.249640,4.799357,6.066172,-0.100000,False,100,167.5,1
2.61,0.931021,6.191166,2.549481,1.282667,0.100000,False,200,335.0,0
0.88,0.841069,0.018871,0.646714,4.396270,0.200000,False,100,150.0,2
1.27,0.931021,6.243739,0.707522,1.948892,0.150000,False,200,335.0,0
1.82,1.047198,3.273781,3.332787,0.799157,0.200000,False,200,400.0,0
0.57,5.274925,3.319750,3.365594,5.899223,-0.200000,False,100,187.5,0
1.74,0.962551,2.940359,1.457598,2.698969,0.150000,False,200,350.0,0
1.50,0.841069,2.798621,0.355924,1.597295,0.150000,True,200,300.0,0
1.73,5.274925,3.354638,6.044390,4.803020,-0.150000,False,100,187.5,0
0.82,1.008260,1.482114,0.985312,4.734868,0.200000,True,100,187.5,5
4.75,1.008260,0.426588,4.993865,6.235236,0.150000,False,100,187.5,4
0.94,5.274925,4.292401,2.381643,3.648458,-0.100000,True,200,375.0,0
4.00,1.008260,1.275411,1.262638,6.279009,0.100000,True,100,187.5,7
0.91,5.442117,2.770722,5.824718,4.583348,-0.150000,True,100,150.0,0
1.09,5.320635,6.190907,3.627104,4.893919,-0.100000,False,100,175.0,1
0.51,0.931021,5.955902,3.393483,0.859854,0.200000,True,100,167.5,0
0.43,5.442117,6.221563,2.754744,4.021559,-0.100000,True,100,150.0,2
0.41,0.841069,0.075823,2.329787,6.079343,0.200000,True,100,150.0,2
0.65,5.352164,0.422311,0.373737,5.415552,-0.150000,True,200,335.0,0
0.82,5.274925,6.114104,3.742356,6.275986,-0.200000,True,200,375.0,2
0.00,0.931021,5.852637,3.825939,1.292309,0.200000,False,100,167.5,0
1.52,5.235988,6.260986,1.029358,2.296173,-0.100000,False,100,200.0,0
0.95,5.442117,3.254762,0.945405,3.479034,-0.200000,True,100,150.0,0
0.48,1.047198,1.375174,2.029754,5.779309,0.200000,True,100,200.0,7
0.85,5.274925,0.029640,1.217475,2.484290,-0.100000,True,100,187.5,0
0.85,0.931021,0.084427,5.102380,0.060565,0.150000,False,100,167.5,2
0.87,0.962551,6.205102,0.706918,4.456474,0.200000,False,100,175.0,0
1.38,0.962551,0.030673,3.958826,1.425196,0.200000,False,200,350.0,1
0.78,0.962551,5.755159,2.499120,3.740491,0.150000,True,200,350.0,0
2.00,5.352164,0.081966,6.032589,4.791219,-0.150000,False,200,335.0,0
1.93,5.320635,5.866971,2.850744,4.117559,-0.100000,False,200,350.0,5
4.76,5.352164,6.049219,1.815228,4.348858,-0.200000,False,200,335.0,3
0.45,5.320635,0.055538,1.468039,0.226668,-0.150000,True,100,175.0,0
0.86,5.274925,6.108220,5.526031,4.284660,-0.150000,True,200,375.0,2
1.27,5.352164,0.028566,4.920535,3.679165,-0.150000,False,100,167.5,0
0.41,0.931021,0.222995,4.423125,5.664496,0.150000,True,200,335.0,3
0.65,5.320635,0.043853,0.739481,2.006295,-0.100000,True,200,350.0,0
1.26,0.931021,6.202455,2.707261,0.173632,0.200000,False,200,335.0,0
0.53,5.235988,1.002681,0.982836,2.249651,-0.100000,True,100,200.0,0
1.99,5.352164,5.047769,4.653229,5.920044,-0.100000,True,100,167.5,7
2.47,0.962551,0.022102,6.115832,1.074017,0.150000,False,100,175.0,1
0.51,0.931021,3.184044,3.052487,4.293858,0.150000,True,100,167.5,0
0.65,0.931021,0.931095,4.206817,2.940002,0.100000,True,100,167.5,10
0.47,0.841069,0.191970,5.291859,2.758230,0.200000,True,200,300.0,4
0.30,1.008260,5.763082,0.526930,1.768301,0.150000,True,100,187.5,0
1.39,0.841069,6.282965,3.619894,2.353079,0.100000,False,100,150.0,0
0.37,0.841069,5.138410,5.363830,4.097016,0.100000,True,200,300.0,0
0.52,0.962551,0.164986,3.056817,0.523188,0.200000,True,100,175.0,2
0.47,0.962551,6.240511,3.447776,0.914146,0.200000,True,200,350.0,0
2.14,5.442117,0.099787,4.537380,3.296009,-0.150000,False,100,150.0,0
1.84,5.235988,0.303340,5.141190,3.899820,-0.150000,True,100,200.0,0
1.68,1.008260,5.942307,4.167183,2.900368,0.100000,True,200,375.0,0
0.95,1.047198,0.058901,0.031341,1.272711,0.150000,False,200,400.0,0
1.58,0.841069,0.717736,2.504408,3.745779,0.150000,False,200,300.0,9
0.73,5.320635,6.045117,2.850118,1.608748,-0.150000,False,200,350.0,3
0.46,5.235988,5.556896,2.327849,1.086478,-0.150000,False,200,400.0,7
1.44,0.931021,5.569449,3.332581,2.065766,0.100000,False,100,167.5,0
0.91,5.442117,6.070680,0.299933,1.566748,-0.100000,True,200,300.0,4
1.20,1.047198,0.840644,5.977360,4.710546,0.100000,False,200,400.0,8
0.80,0.841069,6.177018,3.139189,4.380559,0.150000,True,100,150.0,0
0.73,5.442117,4.911612,4.579385,3.338014,-0.150000,True,200,300.0,5
1.36,1.008260,0.615697,3.694700,4.936071,0.150000,False,200,375.0,6
1.29,1.047198,0.942542,5.803604,3.269974,0.200000,True,200,400.0,9
0.88,5.442117,4.349598,3.715429,6.249058,-0.200000,True,200,300.0,0
1.24,0.841069,0.470744,4.951272,2.417643,0.200000,False,200,300.0,6
1.65,0.962551,0.854087,1.298167,0.031352,0.100000,True,200,350.0,9
1.13,0.841069,0.546473,5.073008,3.806194,0.100000,False,200,300.0,7
0.82,5.352164,5.963311,0.550616,3.084245,-0.200000,True,200,335.0,4
0.82,5.235988,5.714852,5.639291,0.622920,-0.100000,True,200,400.0,5
0.96,5.442117,5.717295,3.248793,2.007423,-0.150000,False,200,300.0,7
0.68,5.352164,5.859587,2.753174,5.286803,-0.200000,False,100,167.5,5
0.40,5.235988,4.915946,3.228274,5.761903,-0.200000,False,200,400.0,7
1.53,1.008260,1.611452,0.753081,4.502637,0.200000,True,200,375.0,4
1.48,5.320635,6.117985,1.563605,4.097235,-0.200000,True,200,350.0,2
1.16,5.320635,5.349834,0.548653,1.815467,-0.100000,True,100,175.0,10
0.70,5.320635,5.420035,2.528335,1.286965,-0.150000,False,100,175.0,9
0.67,1.047198,0.371363,6.098910,4.832095,0.100000,True,200,400.0,3
0.55,5.274925,0.003734,0.062544,5.104359,-0.150000,False,200,375.0,0
0.80,1.047198,0.869599,4.146510,1.612881,0.200000,False,100,200.0,8
0.93,5.274925,5.887676,5.659780,1.910224,-0.200000,False,200,375.0,4
0.74,5.442117,0.212535,1.870331,3.137146,-0.100000,False,100,150.0,0
0.98,5.274925,5.264625,4.622986,0.873430,-0.200000,True,100,187.5,10
0.64,5.352164,0.059278,1.560737,4.094366,-0.200000,True,100,167.5,0
1.14,5.352164,5.926711,3.887372,5.154187,-0.100000,True,200,335.0,4
0.50,0.962551,0.644269,1.401729,0.134914,0.100000,False,100,175.0,7
0.81,1.008260,1.188165,0.835432,4.584988,0.200000,False,100,187.5,8
1.03,0.962551,0.197466,5.669291,4.402476,0.100000,True,100,175.0,2
0.55,1.008260,0.590364,1.176534,6.192905,0.100000,False,100,187.5,6
0.88,5.442117,5.643506,2.742353,5.275982,-0.200000,False,100,150.0,8
0.77,0.931021,0.054789,5.533907,3.000277,0.200000,True,200,335.0,1
0.83,5.274925,5.258425,1.718563,0.477192,-0.150000,True,100,187.5,10
1.03,5.235988,5.829791,5.081461,0.065090,-0.100000,False,200,400.0,4
1.67,5.442117,6.000375,0.095954,1.362768,-0.100000,False,200,300.0,4
1.35,5.352164,5.737759,2.760776,4.027591,-0.100000,False,200,335.0,6
0.95,1.047198,5.562700,2.335693,3.577063,0.150000,True,100,200.0,0
1.31,5.274925,5.745195,4.659699,5.926513,-0.100000,False,200,375.0,5
0.57,5.274925,6.047905,3.111803,4.378617,-0.100000,False,100,187.5,2
1.35,5.320635,5.542901,1.383119,3.916748,-0.200000,True,100,175.0,8
0.43,0.841069,0.690941,0.480187,1.721557,0.150000,False,100,150.0,8
0.62,0.962551,5.618816,3.433495,4.674866,0.150000,True,100,175.0,0
0.33,5.235988,1.941522,6.181254,2.431698,-0.200000,False,100,200.0,0
1.80,5.235988,4.926994,4.071143,2.829773,-0.150000,True,200,400.0,7
1.00,5.320635,5.847368,1.734681,4.268310,-0.200000,False,100,175.0,5
1.16,0.931021,1.192824,4.008751,2.741937,0.100000,True,200,335.0,7
0.51,1.008260,0.059529,2.089656,3.331026,0.150000,True,200,375.0,1
0.74,1.008260,6.154408,0.739642,4.489198,0.200000,False,200,375.0,0
0.48,0.841069,2.425082,5.121941,3.855127,0.100000,True,100,150.0,0
1.20,0.962551,0.091775,5.554840,4.288025,0.100000,False,200,350.0,1
1.72,5.442117,6.238576,1.884822,4.418451,-0.200000,False,200,300.0,2
0.66,5.352164,0.679989,5.364859,4.123488,-0.150000,True,100,167.5,0
1.15,1.047198,1.313097,0.318564,5.334935,0.100000,True,100,200.0,7
1.42,1.047198,0.339227,4.343388,5.584759,0.150000,True,200,400.0,3
5.15,5.235988,3.298077,4.499819,0.750264,-0.200000,True,100,200.0,0
0.80,5.320635,6.190896,1.792310,0.550939,-0.150000,True,200,350.0,1
0.79,1.047198,6.268433,1.622846,2.864217,0.150000,False,100,200.0,0
2.86,5.235988,0.123730,2.904483,5.438112,-0.200000,True,200,400.0,0
5.68,5.320635,0.952286,5.352762,1.603206,-0.200000,False,200,350.0,0
3.49,1.047198,6.183079,4.828660,3.561845,0.100000,False,100,200.0,0
2.17,5.235988,0.523822,0.990030,6.031845,-0.150000,False,100,200.0,0
5.42,1.008260,5.824808,2.085120,0.818305,0.100000,False,200,375.0,0
1.20,5.352164,0.258970,0.169532,1.436347,-0.100000,False,100,167.5,0
1.85,0.931021,0.113645,3.071709,1.804894,0.100000,False,200,335.0,2
6.39,0.841069,0.594219,3.989053,1.455424,0.200000,False,100,150.0,8
1.65,0.931021,0.548406,5.802442,0.760627,0.150000,False,200,335.0,6
1.32,1.047198,0.164802,5.864312,3.330682,0.200000,False,200,400.0,1
0.46,5.274925,1.048483,0.754515,3.288145,-0.200000,False,100,187.5,0
0.69,0.962551,0.585357,3.934807,5.176177,0.150000,False,200,350.0,6
0.35,0.841069,6.047541,0.839567,2.080938,0.150000,True,200,300.0,0
0.58,5.274925,6.005168,4.810061,3.568690,-0.150000,False,100,187.5,3
0.36,1.008260,3.768773,5.594535,3.060906,0.200000,True,100,187.5,0
0.75,1.008260,0.919962,3.751517,4.992887,0.150000,False,100,187.5,9
0.53,5.274925,6.169624,0.945805,2.212620,-0.100000,True,200,375.0,1
0.28,1.008260,6.262898,2.271394,1.004579,0.100000,True,100,187.5,0
0.29,5.442117,0.793767,0.723131,5.764946,-0.150000,True,100,150.0,0
1.36,5.320635,6.254840,4.596852,5.863667,-0.100000,False,100,175.0,1
0.37,0.931021,0.389760,2.522761,6.272317,0.200000,True,100,167.5,5
0.49,5.442117,1.585496,1.215137,2.481952,-0.100000,True,100,150.0,0
0.76,0.841069,5.895944,1.350308,5.099864,0.200000,True,100,150.0,0
0.33,5.352164,0.313023,2.032666,0.791296,-0.150000,True,200,335.0,0
0.42,5.274925,5.144587,4.405832,0.656276,-0.200000,True,200,375.0,9
0.54,0.931021,0.413886,1.578099,5.327655,0.200000,False,100,167.5,5
0.74,5.235988,0.176155,4.422223,5.689038,-0.100000,False,100,200.0,0
0.66,5.442117,0.110574,2.206088,4.739718,-0.200000,True,100,150.0,0
0.37,1.047198,4.158618,4.937401,2.403772,0.200000,True,100,200.0,0
0.59,5.274925,6.212433,3.981285,5.248099,-0.100000,True,100,187.5,1
0.30,0.931021,3.254896,5.337008,0.295193,0.150000,False,100,167.5,0
1.77,0.962551,0.166935,3.062538,0.528908,0.200000,False,100,175.0,2
0.84,0.962551,0.211199,6.027446,3.493817,0.200000,False,200,350.0,2
0.63,0.962551,6.277513,0.480820,1.722190,0.150000,True,200,350.0,0
0.39,5.352164,6.239556,2.589974,1.348603,-0.150000,False,200,335.0,1
1.00,5.320635,0.135878,5.948626,0.932255,-0.100000,False,200,350.0,0
0.68,5.352164,0.001888,3.141883,5.675512,-0.200000,False,200,335.0,0
0.41,5.320635,0.152790,5.690210,4.448840,-0.150000,True,100,175.0,0
1.04,5.274925,5.974931,2.588104,1.346733,-0.150000,True,200,375.0,3
0.37,5.352164,6.219633,2.039487,0.798116,-0.150000,False,100,167.5,1
0.63,0.931021,6.136567,2.802527,4.043897,0.150000,True,200,335.0,0
0.48,5.320635,0.320627,5.818462,0.802092,-0.100000,True,200,350.0,0
1.01,0.931021,6.042931,5.403317,2.869688,0.200000,False,200,335.0,0
0.45,5.235988,5.584497,3.931127,5.197942,-0.100000,True,100,200.0,7
1.47,5.352164,6.156449,6.262837,1.246466,-0.100000,True,100,167.5,2
0.59,0.962551,6.104188,3.608640,4.850011,0.150000,False,100,175.0,0
0.84,0.931021,0.183258,0.170968,1.412339,0.150000,True,100,167.5,3
0.52,0.931021,0.357389,2.230792,0.963977,0.100000,True,100,167.5,4
0.85,0.841069,0.272173,6.004796,3.471167,0.200000,True,200,300.0,4
0.48,1.008260,5.866497,3.167434,4.408804,0.150000,True,100,187.5,0
0.57,0.841069,6.142778,2.931446,1.664631,0.100000,False,100,150.0,0
0.56,0.841069,0.050270,3.824540,2.557725,0.100000,True,200,300.0,2
0.66,0.962551,6.122423,1.326871,5.076427,0.200000,True,100,175.0,0
0.42,0.962551,0.215501,2.192113,5.941669,0.200000,True,200,350.0,3
1.19,5.442117,0.030289,0.213990,5.255804,-0.150000,False,100,150.0,0
0.48,5.235988,0.259462,1.117737,6.159551,-0.150000,True,100,200.0,0
0.99,1.008260,0.351208,3.914820,2.648006,0.100000,True,200,375.0,3
0.88,1.047198,6.150526,1.496776,2.738147,0.150000,False,200,400.0,0
0.51,0.841069,0.355707,0.700920,1.942291,0.150000,False,200,300.0,5
0.35,5.320635,5.462172,4.996176,3.754805,-0.150000,False,200,350.0,9
1.15,5.235988,6.106080,1.621702,0.380331,-0.150000,False,200,400.0,1
1.55,0.931021,0.305099,4.104363,2.837548,0.100000,False,100,167.5,4
0.73,5.442117,5.931200,2.334065,3.600880,-0.100000,True,200,300.0,5
1.13,1.047198,0.147474,3.502697,2.235882,0.100000,False,200,400.0,1
0.57,0.841069,6.157117,4.568071,5.809442,0.150000,True,100,150.0,0
1.12,5.442117,0.030501,5.578877,4.337506,-0.150000,True,200,300.0,0
0.88,1.008260,0.355946,4.988146,6.229517,0.150000,False,200,375.0,3
0.84,1.047198,1.123656,6.250503,3.716874,0.200000,True,200,400.0,9
0.90,5.442117,5.831875,5.922750,2.173194,-0.200000,True,200,300.0,6
1.70,0.841069,0.164459,3.011199,0.477570,0.200000,False,200,300.0,3
0.79,0.962551,0.083210,3.140656,1.873841,0.100000,True,200,350.0,1
1.66,0.841069,0.358649,4.008393,2.741578,0.100000,False,200,300.0,5
0.79,5.352164,5.713582,0.696773,3.230402,-0.200000,True,200,335.0,6
0.63,5.235988,5.506912,0.636680,1.903495,-0.100000,True,200,400.0,7
1.01,5.442117,5.882499,3.583742,2.342372,-0.150000,False,200,300.0,6
0.28,5.352164,6.216833,2.767755,5.301385,-0.200000,False,100,167.5,1
1.00,5.235988,6.110750,4.544887,0.795331,-0.200000,False,200,400.0,1
1.38,1.008260,0.704983,1.418573,5.168129,0.200000,True,200,375.0,7
0.85,5.320635,6.041283,2.043804,4.577433,-0.200000,True,200,350.0,3
0.80,5.320635,5.856163,1.746451,3.013266,-0.100000,True,100,175.0,5
0.78,5.320635,5.781450,4.753354,3.511984,-0.150000,False,100,175.0,5
0.97,1.047198,0.269232,4.967706,3.700891,0.100000,True,200,400.0,2
1.41,5.274925,5.907410,4.794407,3.553036,-0.150000,False,200,375.0,4
0.83,1.047198,0.049096,0.925221,4.674777,0.200000,False,100,200.0,0
0.78,5.274925,6.029554,0.991413,3.525042,-0.200000,False,200,375.0,2
1.02,5.442117,5.946351,4.931903,6.198718,-0.100000,False,100,150.0,5
0.79,5.274925,5.857581,0.849769,3.383399,-0.200000,True,100,187.5,4
0.43,5.352164,0.404351,5.398638,1.649083,-0.200000,True,100,167.5,0
0.82,5.352164,6.132279,3.981143,5.247958,-0.100000,True,200,335.0,2
0.72,0.962551,0.299564,3.497574,2.230759,0.100000,False,100,175.0,3
0.63,1.008260,0.301780,5.084817,2.551188,0.200000,False,100,187.5,3
1.30,0.962551,0.404827,2.239273,0.972459,0.100000,True,100,175.0,4
0.99,1.008260,0.467897,0.683707,5.700078,0.100000,False,100,187.5,5
0.63,5.442117,5.380775,2.798891,5.332520,-0.200000,False,100,150.0,9
0.77,0.931021,0.146766,1.692876,5.442432,0.200000,True,200,335.0,2
0.55,5.274925,5.547554,4.165595,2.924224,-0.150000,True,100,187.5,7
0.99,5.235988,6.034913,2.146267,3.413082,-0.100000,False,200,400.0,2
1.02,5.442117,5.866459,0.047016,1.313831,-0.100000,False,200,300.0,6
0.36,5.352164,4.446299,0.139726,1.406541,-0.100000,False,200,335.0,1
1.08,1.047198,6.238194,1.794367,3.035737,0.150000,True,100,200.0,0
0.91,5.274925,0.030067,5.251935,0.235565,-0.100000,False,200,375.0,0
0.81,5.274925,5.756025,5.612228,0.595857,-0.100000,False,100,187.5,5
1.16,5.320635,0.462203,5.683232,1.933676,-0.200000,True,100,175.0,0
1.28,0.841069,0.375404,3.901436,5.142806,0.150000,False,100,150.0,5
0.70,0.962551,0.403307,4.971924,6.213295,0.150000,True,100,175.0,4
0.58,5.235988,5.835924,2.355073,4.888703,-0.200000,False,100,200.0,4
1.00,5.235988,5.801867,0.563715,5.605530,-0.150000,True,200,400.0,4
1.06,5.320635,5.758181,4.335266,0.585710,-0.200000,False,100,175.0,6
1.01,0.931021,0.347092,5.907446,4.640631,0.100000,True,200,335.0,4
0.59,1.008260,0.265931,3.133963,4.375334,0.150000,True,200,375.0,3
1.09,1.008260,0.324852,1.172739,4.922295,0.200000,False,200,375.0,3
0.87,0.841069,0.351807,3.691718,2.424904,0.100000,True,100,150.0,5
0.54,0.962551,0.251160,4.698544,3.431729,0.100000,False,200,350.0,3
0.94,5.442117,5.686499,3.959538,0.209982,-0.200000,False,200,300.0,8
0.34,5.352164,5.436378,4.166122,2.924752,-0.150000,True,100,167.5,9
0.96,1.047198,0.329118,2.645495,1.378681,0.100000,True,100,200.0,3
1.10,1.047198,0.099630,4.716816,5.958187,0.150000,True,200,400.0,1
0.86,5.235988,5.625469,0.597441,3.131070,-0.200000,True,100,200.0,6
0.38,5.320635,6.176672,2.884159,1.642789,-0.150000,True,200,350.0,1
0.57,1.047198,0.379239,5.332265,0.290450,0.150000,False,100,200.0,3
0.78,5.235988,6.141434,6.063584,2.314028,-0.200000,True,200,400.0,1
0.57,5.320635,5.742657,4.346282,0.596726,-0.200000,False,200,350.0,6
1.06,1.047198,0.622555,0.745108,5.761479,0.100000,False,100,200.0,6
0.40,5.235988,0.389437,1.355597,0.114227,-0.150000,False,100,200.0,0
0.35,1.008260,0.878206,0.649043,5.665414,0.100000,False,200,375.0,9
0.74,5.352164,5.979505,0.220551,1.487366,-0.100000,False,100,167.5,4
1.70,0.931021,0.420331,5.302481,4.035667,0.100000,False,200,335.0,5
1.36,0.841069,0.424790,1.546368,5.295924,0.200000,False,100,150.0,6
1.42,0.931021,0.312446,3.831984,5.073354,0.150000,False,200,335.0,4
0.73,1.047198,0.252407,5.082948,2.549319,0.200000,False,200,400.0,2
